Card_Type,Rarity,Card_ID,Base_Power,Optimal_Lane,Race,Keyword_Ability,Class,Card_Name,Faction,id,created_date,updated_date,created_by_id,created_by,is_sample
Unit,Rare,rare_vanguard_high_paladin,6,Lane_1,Human,,Warrior,Vanguard High Paladin,The Vanguard Kingdoms,69ded14f6331cd9a0691f4df,2026-04-14T23:44:15.720000,2026-04-14T23:44:15.720000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Rare,rare_arborean_spellweaver,6,Lane_2,Elf,,Mage,Arborean Spellweaver,The Arborea Kingdom,69ded14f6331cd9a0691f4e0,2026-04-14T23:44:15.720000,2026-04-18T12:43:15.113000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Rare,rare_obsidian_dreadknight,6,Lane_1,Human,,Warrior,Obsidian Dreadknight,The Obsidian Empire,69ded14f6331cd9a0691f4e1,2026-04-14T23:44:15.720000,2026-04-14T23:44:15.720000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Rare,rare_feral_blood_shaman,6,Lane_3,Orc,,Mage,Feral Blood-Shaman,The Feral Hollow,69ded14f6331cd9a0691f4e2,2026-04-14T23:44:15.720000,2026-04-14T23:44:15.720000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-FER-03,0,Lane_3,,,Curse,Web Trap,The Feral Hollow,69daedcfcefc01ad7298f0f8,2026-04-12T00:56:47.935000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-IRO-02,3,Lane_1,,,Warrior,Shield-Maiden,The Iron Pact,69daedcfcefc01ad7298f0a5,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-IRO-03,3,Lane_3,,,Rogue,Tunnel Scout,The Iron Pact,69daedcfcefc01ad7298f0a6,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-IRO-04,3,Lane_2,,,Archer,Steam-Gunner,The Iron Pact,69daedcfcefc01ad7298f0a7,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-IRO-05,2,Lane_2,,,Healer,Rune-Priest,The Iron Pact,69daedcfcefc01ad7298f0a8,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-06,5,Lane_2,,,Mage,Forge-Mage,The Iron Pact,69daedcfcefc01ad7298f0a9,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-07,4,Lane_3,,,Rogue,Deep-Rogue,The Iron Pact,69daedcfcefc01ad7298f0aa,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-08,5,Lane_3,,,Behemoth,Siege Golem,The Iron Pact,69daedcfcefc01ad7298f0ab,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-09,4,Lane_1,,,Warrior,Dwarf Berserker,The Iron Pact,69daedcfcefc01ad7298f0ac,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-IRO-10,5,Lane_3,,,Behemoth,Mortar Team,The Iron Pact,69daedcfcefc01ad7298f0ad,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-IRO-01,0,Lane_1,,,Curse,Tar Pit,The Iron Pact,69daedcfcefc01ad7298f0ae,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-IRO-02,0,Lane_2,,,Curse,Shrapnel Blast,The Iron Pact,69daedcfcefc01ad7298f0af,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Spell,Common,SPL-IRO-03,0,Lane_3,,,Curse,Cave In,The Iron Pact,69daedcfcefc01ad7298f0b0,2026-04-12T00:56:47.934000,2026-04-14T20:06:28.371000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ARB-01,4,Lane_1,,,Warrior,Moonblade,The Arborea Kingdom,69daedcfcefc01ad7298f0b6,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ARB-02,3,Lane_1,,,Warrior,Glade Guard,The Arborea Kingdom,69daedcfcefc01ad7298f0b7,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ARB-03,3,Lane_1,,,Warrior,River Sentinel,The Arborea Kingdom,69daedcfcefc01ad7298f0b8,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ARB-04,3,Lane_2,,,Archer,Sunbow Archer,The Arborea Kingdom,69daedcfcefc01ad7298f0b9,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Common,UNT-ARB-05,2,Lane_2,,,Healer,Grove Tender,The Arborea Kingdom,69daedcfcefc01ad7298f0ba,2026-04-12T00:56:47.934000,2026-04-14T20:07:00.316000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ARB-06,5,Lane_2,,,Mage,Star-Weaver,The Arborea Kingdom,69daedcfcefc01ad7298f0bb,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ARB-07,4,Lane_3,,,Rogue,Nightshade,The Arborea Kingdom,69daedcfcefc01ad7298f0bc,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
Unit,Uncommon,UNT-ARB-08,5,Lane_3,,,Behemoth,Forest Treant,The Arborea Kingdom,69daedcfcefc01ad7298f0bd,2026-04-12T00:56:47.934000,2026-04-14T20:06:59.252000,69d93b084a7f318454aac460,bfrancis1988@gmail.com,FALSE
